Sum of SUM(TOTAL_NO_OF_CRIME),Column Labels,,,,,,,,,,,,
Row Labels,"Amelia	 Bob Simmons",Ashley Andrew,Burt Bashir,Callum Chapman,Drew Dayton,Ewan Ellen,Gilly Gerkin,"Kimberly	 Randall","Lennie	 Avaline Thompsett","Mary	 Beth Aitken","Nicholas	 Parsons","Stephanie	 Gill",Grand Total
armed robbery,,,,,,,,1,,,,1,2
2016,,,,,,,,,,,,1,1
2019,,,,,,,,1,,,,,1
Black mail,,,,,,,,,,1,,,1
2019,,,,,,,,,,1,,,1
Drugs Offence,,1,,,,1,1,,,,,,3
2016,,1,,,,1,1,,,,,,3
forgery,,1,,1,1,1,1,,,,,,5
2015,,1,,1,1,1,1,,,,,,5
hit and run,,,,,,,,,1,,,,1
2015,,,,,,,,,1,,,,1
murder,,,,,,,,,,,1,,1
2017,,,,,,,,,,,1,,1
robbery,,,,1,,1,1,,,,,,3
2015,,,,1,,1,1,,,,,,3
Theft,1,,,,,,,,1,,,,2
2015,,,,,,,,,1,,,,1
2019,1,,,,,,,,,,,,1
UNDEFINED,1,,,,,,,1,2,1,1,1,7
2015,,,,,,,,,2,,,,2
2016,,,,,,,,,,,,1,1
2017,,,,,,,,,,,1,,1
2019,1,,,,,,,1,,1,,,3
Violent Crime,,2,2,2,2,1,2,,,,,,11
2015,,1,1,1,1,1,1,,,,,,6
2016,,1,1,1,1,,1,,,,,,5
Grand Total,2,4,2,4,3,4,5,2,4,2,2,2,36
